"Form Number","Numero de formulario","Nome do entrevistador","Periodo da Pesquisa","Sexo","Copy of Quantos anos tem","Estado Civil","Numero de A. Familiar","Quantas de sexo feminino","Quantas pessoas menor de 18 anos","Quantas criancas estudam","Nasceu neste povoado","Se nao, ha quantos anos vive neste povoado","Situacao escolar","Situacao Religiosa","OBC que faz parte","Ocupacao Principal","Se realiza actividade de Pesca A quantos anos","Quem ensiou a pescar","Tem embarcacao de pesca","Que tipo de arte utiliza","Quantas artes de linha de mao tem","Quantos Arpao tem","Quantas artes de emalhar tem","Quantos marinheiros tem na embarcacao que pesca","Quantas vezes vai pesca por dia","Quantas horas fica na faina","Em que local pesca","Tem mudado a zona de pesca","Que tipo de embarcacao utiliza","Quantas embarcacoes de fibra tem","Quantas embarcacoes de Madeira/contraplacado tem","Onde adquiriu a embarcacao","Qual a especie mais capturada","Mes de maior rendimento","Mes de rendimento medio","Mes de rendimento baixo","Quais sao as capturas Maxima e Minima por faina Maxima","Minima","Qual é o mercado","Qual é o preco local por especie Garoupa","Vermalhao","Atum","Serra","Lagostas","Quem sao compradores de pescado","voce ja se benificou-se de algum credito","Se sim, de que Instituicao","Sempre pescou da mesmo maneira","Qual é o nível de captura a 5 anos comparando com hoje","Se estiver a diminuir, quais sao as causas","Se as capturas estiver a diminuir, qual é o impacto na familia","No passado qual era a arte mais utilizada","Quel era a captura por faina","Como era a forma que pescava no passado comparando com hoje","Tem conhecimento de algum problemas relacionados com a pesca de arpao","Ja pensou em mudar de pescar com arte de Arpao","Se sim, para que arte pensa em mudar","Existe alguma dificuldade em mudar de arte","Copy of Se existir as dificuldades Quias sao","Qual a especie pretende capturar com a nova arte","Quais sao as especies mais capturada","Quais sao os influenciadores sobre o publico-alvo","Qual é OBC que tem maior influencia sobre o publico alvo","Em que incide a influencia","Voce aceitaria de deixar de pescar com arpao?","Se existir, quais sao as causas da resistencia","Acha que seria facil ou dificil em convece-lo para novo comportamento da pesca de garoupa de Mancha castanha","Copy of Se for facil Porque","Se for deficil Porque","Voce aceitaria a mudar de comportamento para adptar nova regra de pesca","Aceitaria porque","Copy of Nao aceitaria porque","Acha que teria alguma resistência em abandonar a pesca com Arpao","Se for sim","Se for nao","A comunidade tem enfrentado alguma dificuldade","Falta de agua","Energia RN","Insumo de pesca","Bomba de combustivel","Sistema de congelamento","Vias de acesso","Tem informação ou conhecimento sobre a conservacao da garoupa de mancha castanha","Ha captura das espécies em conservacao ou protegidas","Qual das especies é a mais capturada","Quais sao os problemas da zona costeira","A forma que voce pesca hoje acha que é melhor que antes","Se nao, porque","Voce acha que a quantidade da garoupa de mancha castanha esta a dimunuir com o passar do tempo","Copy of Se for sim,","voce ja falou com outros pescadores sobre a pesca com Arpao","Se sim. porque","Copy of Se for nao, porque","A mudança proposta pelo projecto pode trazer benefícios aos pescadores e à comunidade","Copy of Copy of Se for sim Porque","Copy of Se for nao Porque","Qual é a fonte de informacao na comunidade","Qual é ONG com maior ligacao com a comunidade","Qual a instituicao que tem maior ligacao com pescadores e a comunidade","Qual é a OBC com maior ligacao com a pesca","Quas sao os aspectos culturais ligado a pesca","Form's Doc","Form Source","Form Created","Form's ID", 
29,29,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","4 Pessoas","2 Pessoas","2 Pessoas","1 crianca","Sim"," ","Nivel Primario","Zione","Nenhum","Pesca","entre 5 a 10 anos","Tio","Sim","Emalhe"," ","Nenhum","2 Artes de emalhar","2 marinheiros","1 vez","1 a 3 horas","Nas rochas","Nao","Nenhum","Nenhum","I Embarcacao","Local","Serra","J","O","N","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Pesca das especies em crescimento","Negativo","linha de mao","50 a 70Kg","Positivo","Cruzamento de rede","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Atum","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Sim","Vai melhorar ecossistema","Nenhum","Nao","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao"," ","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Nao","Muita Procura"," ","Sim","Aumento das especies"," ","Governo","FDM","DPMAIP","CCP","Nao sabe","1","","Feb 24, 18 16:18","2xgc-76c1-dvg", 
30,30,"Jose Macie","Linha de base antes da campanha","M","55 a 60 anos","Un. Marital","7 Pessoas","4 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Secundario","Catolica","Nenhum","Pesca","Mais de 10 anos","Tio","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","D","J","F","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","180Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Positivo","linha de mao","+100 Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Serra","Chefe de povoacao","CCP","Modo de pesca","Nao","Maior rendimento","Dificil","Concorda com objectivo do projecto","Nenhum","Nao","Nenhum","Nenhum","Nao","Nenhum","Nenhum","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Sim","Nao","Nao sabe"," ","Nao","Nao ha veda","Nao"," ","Sim","Maior Rendimento"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 16:40","pxy9-96c1-dyh", 
31,31,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","7 Pessoas","3 Pessoas","3 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Catolica","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Tio","Nao","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","O","N","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Nao","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Sim"," ","Sim","Muita procura","Sim","Maior Rendimento"," ","Sim","Aumento das especies"," ","ONG","FDM","SDAE","CCP","Nao sabe","1","e","Feb 24, 18 21:19","3cn4-y6c6-d0c", 
32,32,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","7 Pessoas","3 Pessoas","2 Pessoas","4 Criancas","Nao","Mais de 5 anos","Nivel Primario","Metodista","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Amigo"," ","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Local","Vermelhao","N","J","D","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","180 Mt/Kg","200Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imposicao de preco","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nao sabe","Dificil","Nenhum","Nao tem comentario","Sim","Vai aumentar o rendimento","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Nao sabe","Lixo na praia","Nao","Nenhum","Sim","Muita procura","Sim","Maior Rendimento"," ","Sim","Nenhum"," ","Governo","FDM","SDAE"," ","Apanha de mexilhao","1","","Feb 24, 18 22:34","gc24-w6cp-d53", 
33,33,"Edmundo Anibal","Linha de base antes da campanha","M","26 a 30 anos","Solteiro","3 Pessoas","1 Pessoa","1 Pessoa","1 crianca","Sim"," ","Nivel Primario","Assembleia de Deus","Nenhum","Pesca","entre 5 a 10 anos","Tio","Nao","Emalhe"," ","Nenhum","1 Arte de emalhar","2 marinheiros","1 vez","1 a 3 horas","Nas rochas","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Inhambane","Serra","O","N","D","70 a 100 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","80 a 100Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Facil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Nao","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Tubarao Martelo","Lixo na praia","Nao"," ","Sim","Nao sabe","Nao sabe"," ","Fraca producao","Sim","Aumento das especies"," ","Governo","FDM","SDAE"," ","Nao sabe","1","","Feb 24, 18 22:47","yc9n-76c4-d7r", 
34,34,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","4 Pessoas","2 Pessoas","2 Pessoas","2 Criancas","Sim"," ","Nivel Secundario","Catolica","Nenhum","Pesca","entre 5 a 10 anos","Primo","Nao","Arpao","1 arte","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","O","N","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Nenhum","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Nao sabe","Facil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Nao sebe","Nao","Esforco de pesca","Sim","Maior rendimento","Nao sabe"," ","Dificil aquisicao de insumo depesca","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 23:04","7crg-r6c4-dtg", 
35,35,"Jose Macie","Linha de base antes da campanha","M","31 a 35 anos","Solteiro","5 Pessoas","3 Pessoas","4 Pessoas","4 Criancas","Nao","Mais de 5 anos","Nivel Primario","Nenhum","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo"," ","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","J","A","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","20 a 40Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nenhum","Facil","Sabe que vai aumentar a especie de Garoupa","Nenhum","Sim","Vai melhorar ecossistema","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Nao","Nao","Sim","Sim","Sim","Nao","Sim","Nao","Tubarao Martelo","Nao sebe","Nao","Nao ha veda","Sim","Maior rendimento","Sim","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 24, 18 23:26","ncmf-n6c4-dnh", 
36,36,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Solteiro","6 Pessoas","4 Pessoas","3 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Nenhum","Conselho Comunitario de Pesca-CCP","Pesca","Entre 3 a 4 anos","Pai","Nao","Emalhe"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Serra","J","F","M","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","50 a 70Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Maior rendimento","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Sim"," ","Sim","Muita procura","Sim","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 24, 18 23:54","0cxc-j6cc-6jf", 
37,37,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","+ 8 Pessoas","3 Pessoas","4 Pessoas","5 Criancas","Nao","Mais de 5 anos","Nivel Primario","Catolica","Nenhum","Pesca","Mais de 10 anos","Amigo","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Local","Vermelhao","J","O","N","70 a 100 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Serra","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Tartaruga","Lixo na praia","Nao"," ","Nao sabe"," ","Sim","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 00:14","cc1r-36cc-64m", 
38,38,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Un. Marital","6 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Nenhum","Pesca","Mais de 10 anos","Tio","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","O","N","10 a 30Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao","Para Linha","Sim","Nenhum","Garoupa","Garoupa","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Sim","Nenhum","Sim","Muita procura","Sim","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM"," ","CCP","Apanha de mexilhao","1","","Feb 25, 18 00:33","xc15-66cc-6xd", 
39,39,"Natercia Candido","Linha de base antes da campanha","M","36 a 40 anos","Solteiro","+ 8 Pessoas","4 Pessoas","+ 7 Pessoas","2 Criancas","Nao","Menos de 1 ano","Nivel Primario","Assembleia de Deus","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Amigo","Sim","Linha","3 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Inhambane","Vermelhao","D","F","F","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Nao ha veda","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 00:49","3c2m-n6cc-6fp", 
40,40,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","2 Pessoas","1 Pessoa","Nenhum","Nenhum","Nao","Mais de 5 anos","Nivel Primario","Zione","Nenhum","Pesca","Mais de 2 anos","Amigo","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Vermelhao","O","N","D","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Nenhum","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","Grupo de trabalho de AGC+ARR","Especie a ser capturadas","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Sim","Vai aumentar o rendimento","Nenhum","Nao","Nenhum","Sabe que pescado do Arpao pode perigar a saude","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao"," ","Sim","Muita procura","Nao","Muita Procura"," ","Sim","Vai aumentar a renda"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 01:02","yxt6-t6cc-6rc", 
41,41,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","6 Pessoas","2 Pessoas","4 Pessoas","2 Criancas","Sim"," ","Nivel Primario","Zione","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Tio","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Maputo","Vermelhao","J","N","D","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Maior rendimento","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Nenhum","Nenhum","Nao","Nenhum","Nenhum","Sim","Nao","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Tartaruga","Lixo na praia","Nao","Pesca nas rochas","Sim","Nao sabe","Nao","Muita Procura"," "," ","Maior gestao comunitaria"," ","Governo","FDM"," ","CCP","Apanha de mexilhao","1","e","Feb 25, 18 11:53","xcnv-x6cg-67c", 
42,42,"Edmundo Anibal","Linha de base antes da campanha","M","55 a 60 anos","Un. Marital","6 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Zione","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Primo","Sim","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Maxixe","Vermelhao","J","O","N","70 a 100 Kg","25 a 30 Kg","Local"," ","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Sim","Nnca","Sim","Dimunuiram","Mudancas climaticas","Positivo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Regulo","CCP","Modo de pesca","Sim","Maior rendimento","Dificil","Nenhum","Nao tem comentario","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Destruicao das dunas","Nao","Esforco de pesca","Sim","Nao sabe","Nao","Fraca producao agricola"," ","Sim","Maior gestao comunitaria"," ","Op. Turisticos","FDM","DPMAIP","CCP","Apanha de mexilhao","1","","Feb 25, 18 12:12","xc87-h6cg-690", 
43,43,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Casado","5 Pessoas","2 Pessoas","4 Pessoas","5 Criancas","Sim"," ","Nivel Primario","Catolica","Grupo de Trabalho AGC+ARR","Pesca","entre 5 a 10 anos","Tio","Sim","Linha","3 Artes","Nenhum","Nenhum","3 Marinheiros","1 vez","4 a 6horas","Nos corais","Nao","Madeira ou contraplacado","1 Embarcacao","I Embarcacao","Local","Vermelhao","N","D","O","40 a 60 Kg","16 a 20Kg","Local"," ","200Mt/kg","200Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Vai aumentar a producao","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Raia Manta","Nao sebe","Nao","Nao ha veda","Nao","Nao sabe","Nao sabe"," ","Fraca producao","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 12:29","kcwp-w6cg-653", 
44,44,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","7 Pessoas","3 Pessoas","4 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Zione","Grupo de Trabalho AGC+ARR","Pesca","entre 5 a 10 anos","Primo","Sim","Emalhe","2 Artes","Nenhum","2 Artes de emalhar","2 marinheiros","1 vez","1 a 3 horas","Nas rochas","Nao","Madeira ou contraplacado","1 Embarcacao","I Embarcacao","Local","Serra","O","N","D","40 a 60 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","50 a 70Kg","Negativo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","Grupo de trabalho de AGC+ARR","Especie a ser capturadas","Sim","Nenhum","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca sem material em condicoes","Sim","Nao sabe","Nao","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 25, 18 12:47","6c53-r6c8-6hw", 
45,45,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Casado","4 Pessoas","1 Pessoa","1 Pessoa","2 Criancas","Sim"," ","Nenhum","Zione","Nenhum","Pesca","entre 5 a 10 anos","Amigo","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","2 vezes","4 a 6horas","Nas rochas","Nao","Nenhum","Nenhum"," "," ","Serra","O","N","D","10 a 30Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Sim","Para Linha","Sim","Falta de fundo","Garoupa","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Muita procura","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Nenhum","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Nao","Maior Rendimento"," ","Nao sabe"," "," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 13:08","7cth-56c8-6j9", 
46,46,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","7 Pessoas","4 Pessoas","4 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Zione","Grupo de Trabalho AGC+ARR","Pesca","entre 5 a 10 anos","Primo","Sim","Emalhe"," ","Nenhum","1 Arte de emalhar","2 marinheiros","1 vez","4 a 6horas","Nas rochas","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Serra","J","A","N","40 a 60 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Nao sabe","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Sim","Para Linha","Sim","Falta de fundo","Garoupa","Garoupa","Regulo","CCP","Especie a ser capturadas","Sim","Nao sabe","Dificil","Nenhum","Nao tem comentario","Sim","Vai aumentar a producao","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao","Esforco de pesca","Sim","Muita procura","Nao","Muita Procura"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 25, 18 13:26","jc5f-76c8-6r8", 
