"","ma_name","gov_law","gov_practice","country","x6_gender","x19_current_fish_catch","x49_enforcement_responsible","x54_food_availability","cluster_no"
"478","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"479","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Declined slightly","National Government","Good","Resistant"
"480","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"481","Tomia","More top-down","More bottom-up","IDN","M","Declined slightly","Subnational Government","OK","Committed"
"482","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"483","Burgos","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"484","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Supportive"
"485","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"486","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined slightly","National Government","OK","Resistant"
"487","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"488","Santa Monica","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Good","Committed"
"489","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Ambivalent"
"490","San Isidro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Very good","Supportive"
"491","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"492","Vuca","True co-management","More bottom-up","MOZ","M","Stayed the same","National Government","OK","Supportive"
"493","Fequete","True co-management","More bottom-up","MOZ","M","Declined slightly","National Government","Rather bad","Ambivalent"
"494","Machangulo","True co-management","True co-management","MOZ","F","Declined slightly","National Government","Good","Supportive"
"495","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Myself","Rather bad","Committed"
"496","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined a lot","No enforcement system","Good","Supportive"
"497","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"498","Santa Monica","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","Good","Ambivalent"
"499","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","Rather bad","Resistant"
"500","Santa Fe","More top-down","More bottom-up","HND","M","Improved slightly","Subnational Government","Very bad","Supportive"
"501","Del Carmen","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Good","Resistant"
"502","Del Carmen","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Committed"
"503","Del Carmen","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Resistant"
"504","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Very good","Supportive"
"505","Culasi","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","OK","Supportive"
"506","General Luna","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"507","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"508","Serissa","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"509","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"510","Tomia","More top-down","More bottom-up","IDN","M","Declined a lot","Subnational Government","OK","Supportive"
"511","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"512","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"513","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined a lot","Fisheries Management Body","Rather bad","Resistant"
"514","Ngiwal","More top-down","More top-down","PLW","M","Declined slightly","National Government","Very good","Supportive"
"515","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Resistant"
"516","RESEX Soure","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Resistant"
"517","Santa Monica","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Good","Resistant"
"518","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Stayed the same","National Government","Rather bad","Resistant"
"519","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Good","Ambivalent"
"520","Culasi","True co-management","More top-down","PHL","F","Improved slightly","National Government","OK","Committed"
"521","Tsondzo","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","Good","Supportive"
"522","Trujillo","More top-down","More top-down","HND","M","Declined a lot","No enforcement system","OK","Resistant"
"523","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","OK","Supportive"
"524","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Stayed the same","National Government","OK","Ambivalent"
"525","San Benito","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","OK","Supportive"
"526","Pilar","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"527","Pilar","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"528","San Benito","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Good","Resistant"
"529","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"530","Burgos","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Supportive"
"531","Santa Monica","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"532","San Benito","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","OK","Committed"
"533","Sebaste","True co-management","More top-down","PHL","M","Improved slightly","National Government","OK","Committed"
"534","Pandan","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Committed"
"535","Santa Monica","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Resistant"
"536","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","F","Stayed the same","National Government","OK","Supportive"
"537","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Improved heavily","National Government","Good","Committed"
"538","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined a lot","Other","OK","Resistant"
"539","Santa Fe","More top-down","More bottom-up","HND","M","Declined a lot","Subnational Government","Rather bad","Supportive"
"540","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"541","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","Rather bad","Ambivalent"
"542","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"543","Culasi","True co-management","More top-down","PHL","M","Declined a lot","No enforcement system","OK","Committed"
"544","Santa Monica","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Good","Committed"
"545","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"546","Tsondzo","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"547","Vuca","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Good","Committed"
"548","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"549","Culasi","True co-management","More top-down","PHL","M","Declined slightly","Myself","OK","Committed"
"550","Libertad","True co-management","More top-down","PHL","F","Improved slightly","National Government","OK","Committed"
"551","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"552","Culasi","True co-management","More top-down","PHL","F","Declined a lot","Myself","Rather bad","Supportive"
"553","Santa Monica","True co-management","More top-down","PHL","M","Stayed the same","National Government","OK","Supportive"
"554","Zavora","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","OK","Committed"
"555","Pilar","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","OK","Supportive"
"556","Pilar","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","OK","Supportive"
"557","RESEX Soure","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Resistant"
"558","Farol","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Good","Resistant"
"559","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Declined slightly","Subnational Government","OK","Supportive"
"560","Trujillo","More top-down","More top-down","HND","M","Stayed the same","Myself","Very bad","Resistant"
"561","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined a lot","Subnational Government","OK","Supportive"
"562","Culasi","True co-management","More top-down","PHL","M","Declined slightly","National Government","Very bad","Supportive"
"563","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined a lot","No enforcement system","Very bad","Resistant"
"564","Pandan","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","OK","Committed"
"565","Tsondzo","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Good","Supportive"
"566","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Resistant"
"567","Santa Fe","More top-down","More bottom-up","HND","M","Improved slightly","No enforcement system","Good","Supportive"
"568","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"569","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"570","Burgos","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Supportive"
"571","Del Carmen","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Resistant"
"572","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Declined a lot","Fisheries Management Body","OK","Supportive"
"573","San Benito","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","OK","Ambivalent"
"574","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Improved heavily","National Government","OK","Resistant"
"575","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Improved slightly","Fisheries Management Body","Good","Committed"
"576","Santa Monica","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"577","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Declined slightly","National Government","Good","Committed"
"578","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"579","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"580","RESEX Soure","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","OK","Committed"
"581","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined slightly","National Government","Good","Ambivalent"
"582","General Luna","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"583","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","F","Improved slightly","National Government","Rather bad","Resistant"
"584","Pilar","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"585","Pilar","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"586","San Isidro","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"587","San Benito","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Supportive"
"588","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"589","Serissa","True co-management","More bottom-up","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"590","Santa Monica","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Committed"
"591","Machangulo","True co-management","True co-management","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"592","San Benito","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"593","Burgos","True co-management","More top-down","PHL","M","Declined slightly","National Government","Rather bad","Supportive"
"594","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"595","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"596","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","Good","Supportive"
"597","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"598","Del Carmen","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","OK","Committed"
"599","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","Rather bad","Resistant"
"600","RESEX Soure","More top-down","True co-management","BRA","F","Improved slightly","National Government","OK","Committed"
"601","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"602","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"603","Del Carmen","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","OK","Committed"
"604","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Improved slightly","National Government","OK","Ambivalent"
"605","Del Carmen","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"606","Santa Monica","True co-management","More top-down","PHL","F","Stayed the same","National Government","Good","Ambivalent"
"607","San Benito","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"608","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Rather bad","Ambivalent"
"609","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Committed"
"610","General Luna","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Committed"
"611","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Rather bad","Supportive"
"612","San Francisco","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"613","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Good","Committed"
"614","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"615","Burgos","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Good","Committed"
"616","Del Carmen","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Good","Resistant"
"617","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"618","Zavora","True co-management","More bottom-up","MOZ","M","Stayed the same","Fisheries Management Body","Good","Committed"
"619","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"620","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined a lot","National Government","OK","Resistant"
"621","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"622","RESEX Soure","More top-down","True co-management","BRA","F","Declined a lot","National Government","OK","Ambivalent"
"623","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Good","Supportive"
"624","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Good","Supportive"
"625","Guanaja","More top-down","More bottom-up","HND","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"626","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined a lot","National Government","OK","Resistant"
"627","General Luna","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"628","Santa Monica","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","OK","Committed"
"629","Trujillo","More top-down","More top-down","HND","M","Stayed the same","No enforcement system","OK","Resistant"
"630","Burgos","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","Good","Ambivalent"
"631","Fequete","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Committed"
"632","Culasi","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Rather bad","Ambivalent"
"633","San Benito","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Good","Supportive"
"634","San Benito","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","OK","Supportive"
"635","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","National Government","OK","Committed"
"636","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined a lot","National Government","OK","Resistant"
"637","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"638","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Stayed the same","No enforcement system","OK","Resistant"
"639","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"640","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"641","Pandan","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Committed"
"642","Pandan","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Supportive"
"643","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","Rather bad","Supportive"
"644","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"645","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Very good","Ambivalent"
"646","Culasi","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"647","Memba","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","OK","Committed"
"648","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Myself","OK","Committed"
"649","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"650","San Benito","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"651","Pandan","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","Good","Supportive"
"652","Culasi","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"653","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","OK","Resistant"
"654","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"655","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"656","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"657","Libertad","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","Good","Committed"
"658","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"659","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","National Government","OK","Committed"
"660","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Stayed the same","Fisheries Management Body","OK","Resistant"
"661","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined slightly","National Government","Very bad","Supportive"
"662","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"663","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"664","Pomene","True co-management","More bottom-up","MOZ","M","Improved slightly","Subnational Government","OK","Supportive"
"665","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Supportive"
"666","Del Carmen","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"667","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"668","Culasi","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"669","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"670","San Benito","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","Good","Committed"
"671","RESEX Soure","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Ambivalent"
"672","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","Good","Resistant"
"673","Pilar","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"674","Pilar","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"675","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"676","Trujillo","More top-down","More top-down","HND","M","Declined slightly","Subnational Government","Very bad","Resistant"
"677","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined a lot","No enforcement system","OK","Resistant"
"678","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"679","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Declined a lot","No enforcement system","Good","Resistant"
"680","Santa Monica","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"681","Sebaste","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"682","Teluk Kolono","More top-down","More top-down","IDN","F","Improved slightly","Subnational Government","OK","Supportive"
"683","Pandan","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"684","Pilar","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"685","Pilar","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"686","San Benito","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","Good","Supportive"
"687","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"688","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"689","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Improved slightly","Subnational Government","OK","Supportive"
"690","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Declined slightly","No enforcement system","OK","Resistant"
"691","Libertad","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"692","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"693","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"694","Fequete","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Supportive"
"695","Pandan","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","Good","Supportive"
"696","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","Good","Committed"
"697","Pomene","True co-management","More bottom-up","MOZ","M","Declined a lot","National Government","Very bad","Committed"
"698","Nhagondzo","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"699","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Resistant"
"700","Libertad","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","OK","Supportive"
"701","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"702","Pilar","True co-management","More top-down","PHL","M","Declined a lot","Subnational Government","OK","Supportive"
"703","Pilar","True co-management","More top-down","PHL","M","Declined a lot","Subnational Government","OK","Supportive"
"704","Libertad","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Ambivalent"
"705","Teluk Kolono","More top-down","More top-down","IDN","M","Declined slightly","Subnational Government","OK","Resistant"
"706","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"707","Pandan","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Ambivalent"
"708","Culasi","True co-management","More top-down","PHL","F","Declined slightly","National Government","OK","Committed"
"709","Libertad","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"710","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"711","Sebaste","True co-management","More top-down","PHL","M","Improved slightly","Subnational Government","Good","Supportive"
"712","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined slightly","No enforcement system","OK","Resistant"
"713","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"714","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"715","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"716","Burgos","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Supportive"
"717","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"718","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"719","Del Carmen","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Supportive"
"720","Santa Monica","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Good","Resistant"
"721","Libertad","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","OK","Supportive"
"722","Santa Monica","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"723","Pomene","True co-management","More bottom-up","MOZ","M","Declined slightly","Subnational Government","OK","Committed"
"724","Tsondzo","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"725","San Isidro","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Good","Ambivalent"
"726","Pandan","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","Good","Committed"
"727","General Luna","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Ambivalent"
"728","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined slightly","National Government","Good","Ambivalent"
"729","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Committed"
"730","Trujillo","More top-down","More top-down","HND","M","Declined a lot","No enforcement system","OK","Supportive"
"731","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined slightly","Subnational Government","Rather bad","Supportive"
"732","Teluk Kolono","More top-down","More top-down","IDN","M","Stayed the same","Fisheries Management Body","Good","Ambivalent"
"733","Puerto Cortes","More top-down","True co-management","HND","M","Declined slightly","No enforcement system","Good","Resistant"
"734","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Fisheries Management Body","Good","Supportive"
"735","Culasi","True co-management","More top-down","PHL","M","Stayed the same","National Government","Good","Committed"
"736","General Luna","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"737","General Luna","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Ambivalent"
"738","Santa Monica","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"739","Libertad","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"740","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"741","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"742","Del Carmen","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"743","Del Carmen","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Rather bad","Resistant"
"744","Teluk Kolono","More top-down","More top-down","IDN","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"745","San Isidro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"746","Memba","True co-management","More bottom-up","MOZ","F","Stayed the same","Other","OK","Committed"
"747","Sebaste","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Good","Ambivalent"
"748","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"749","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
